Name,HR,R,RBI,SB,AVG,cluster_num
David Fletcher,8,75,60,8,0.278,0
Trent Grisham,21,83,74,13,0.242,0
Carlos Santana,20,72,72,2,0.235,0
Harrison Bader,19,71,61,12,0.23,0
Ian Happ,24,78,78,8,0.238,0
Bobby Dalbec,25,66,69,2,0.219,0
Dominic Smith,21,69,75,2,0.258,0
Kyle Lewis,22,72,71,5,0.239,0
Giovanny Urshela,19,72,72,1,0.261,0
Christian Walker,23,71,76,5,0.25,0
Chris Taylor,17,75,65,8,0.256,0
Brian Anderson,22,78,79,3,0.253,0
Michael Brantley,15,75,72,4,0.279,0
